exp_id,page_id,time,fixation
506,1078,10,"[[565.695652173913, 641.0, 735, 89865, 90600], [675.0, 641.0, 402, 90784, 91186], [717.0, 641.0, 252, 91211, 91463], [895.625, 641.0, 214, 91700, 91914], [917.7777777777778, 641.0, 241, 91940, 92181], [1006.5, 641.0, 212, 92221, 92433], [1057.2727272727273, 641.0, 322, 92475, 92797], [1254.0, 641.0, 619, 92985, 93604], [1310.0, 641.0, 300, 93631, 93931], [1377.5454545454545, 641.0, 319, 93968, 94287], [1437.625, 641.0, 223, 94319, 94542], [1525.8666666666666, 641.0, 434, 94571, 95005], [663.875, 693.0, 221, 96947, 97168], [819.5555555555555, 693.0, 270, 97349, 97619]]"
506,1078,11,"[[574.375, 693.0, 222, 99104, 99326], [694.6, 693.0, 449, 99482, 99931], [747.4285714285714, 693.0, 201, 99966, 100167], [883.25, 693.0, 360, 100271, 100631], [1196.0, 693.0, 364, 101266, 101630], [1488.5714285714287, 693.0, 223, 102164, 102387], [1521.5625, 693.0, 498, 102420, 102918], [1572.2857142857142, 693.0, 222, 102948, 103170], [1697.8461538461538, 693.0, 371, 103251, 103622], [400.96, 745.0, 757, 104223, 104980], [609.7142857142857, 745.0, 201, 105347, 105548], [845.6666666666666, 745.0, 259, 105839, 106098]]"
506,1078,12,"[[976.625, 745.0, 214, 106416, 106630], [968.0909090909091, 745.0, 341, 106700, 107041], [1268.125, 745.0, 226, 107404, 107630], [1318.857142857143, 745.0, 400, 107670, 108070], [1379.4375, 745.0, 461, 108106, 108567], [1505.5625, 745.0, 501, 108631, 109132], [1551.375, 745.0, 213, 109170, 109383], [1620.4545454545455, 745.0, 323, 109421, 109744], [1712.1875, 745.0, 451, 109769, 110220], [699.4615384615385, 797.0, 364, 111804, 112168], [730.25, 797.0, 225, 112224, 112449], [785.5, 797.0, 210, 112480, 112690], [854.8, 797.0, 301, 112722, 113023], [908.8461538461538, 797.0, 362, 113054, 113416]]"
579,1214,0,"[[506.375, 121.0, 394, 4063, 4457], [517.2352941176471, 121.0, 520, 4479, 4999], [630.25, 121.0, 368, 5069, 5437], [575.0, 121.0, 301, 5466, 5767], [760.625, 121.0, 233, 5920, 6153], [744.0555555555555, 121.0, 539, 6183, 6722], [668.5714285714286, 121.0, 217, 6751, 6968], [897.7142857142857, 121.0, 215, 7552, 7767], [844.7222222222222, 121.0, 554, 7821, 8375], [909.7, 121.0, 592, 8402, 8994]]"
579,1214,1,"[[902.1818181818181, 121.0, 602, 9023, 9625], [1121.1, 121.0, 247, 9790, 10037], [1169.25, 121.0, 200, 10066, 10266], [1236.3333333333333, 121.0, 316, 10294, 10610], [1495.1818181818182, 121.0, 291, 11136, 11427], [1441.3, 121.0, 281, 11567, 11848], [1590.5333333333333, 121.0, 403, 11985, 12388], [500.6363636363636, 173.0, 600, 13520, 14120], [576.0, 173.0, 213, 14146, 14359], [649.3, 173.0, 247, 14395, 14642], [677.7777777777778, 173.0, 800, 15378, 16178], [690.4285714285714, 173.0, 215, 16213, 16428], [597.4666666666667, 173.0, 470, 16478, 16948]]"
579,1214,2,"[[844.9090909090909, 173.0, 316, 17346, 17662], [748.5, 173.0, 234, 17729, 17963], [749.2222222222222, 173.0, 284, 17995, 18279], [735.1428571428571, 173.0, 336, 18451, 18787], [1129.3333333333333, 173.0, 222, 19510, 19732], [925.2, 173.0, 228, 19899, 20127], [1180.6666666666667, 173.0, 233, 20275, 20508], [1201.2, 173.0, 397, 20538, 20935], [1169.3214285714287, 173.0, 676, 20965, 21641], [1217.375, 173.0, 201, 21665, 21866], [1255.9285714285713, 173.0, 362, 21891, 22253], [1364.125, 173.0, 210, 22369, 22579], [1421.1, 173.0, 250, 22610, 22860], [1455.4545454545455, 173.0, 278, 22893, 23171], [475.6666666666667, 225.0, 397, 24543, 24940]]"
579,1214,3,"[[556.4, 225.0, 423, 25029, 25452], [726.9090909090909, 225.0, 331, 26306, 26637], [497.85714285714283, 225.0, 201, 26807, 27008], [603.0, 225.0, 201, 27038, 27239], [826.0, 225.0, 262, 27586, 27848], [879.9, 225.0, 593, 27884, 28477], [1011.2727272727273, 225.0, 277, 28619, 28896], [1152.8333333333333, 225.0, 309, 29227, 29536], [1226.7777777777778, 225.0, 219, 30035, 30254], [1278.0, 225.0, 218, 30278, 30496], [1316.923076923077, 225.0, 341, 30551, 30892], [1360.1333333333334, 225.0, 404, 30935, 31339], [1453.888888888889, 225.0, 216, 31368, 31584], [1461.1875, 225.0, 402, 31610, 32012], [1700.142857142857, 225.0, 216, 32188, 32404]]"
579,1214,4,"[[574.25, 277.0, 206, 33660, 33866], [410.4117647058824, 277.0, 457, 33955, 34412], [492.375, 277.0, 200, 34448, 34648], [528.1666666666666, 277.0, 319, 34676, 34995], [749.6, 277.0, 269, 35433, 35702], [835.0, 277.0, 568, 35799, 36367], [796.25, 277.0, 227, 36390, 36617], [962.6363636363636, 277.0, 348, 36751, 37099], [1072.4736842105262, 277.0, 620, 37244, 37864], [1146.5, 277.0, 357, 37897, 38254], [1077.625, 277.0, 408, 38870, 39278], [1024.7777777777778, 277.0, 203, 39301, 39504], [1486.5, 277.0, 203, 40461, 40664], [1443.4444444444443, 277.0, 224, 40811, 41035]]"
579,1214,5,"[[1442.5454545454545, 277.0, 275, 41064, 41339], [454.15384615384613, 329.0, 337, 44115, 44452], [551.0, 329.0, 217, 45005, 45222], [738.125, 329.0, 217, 45409, 45626], [743.4545454545455, 329.0, 346, 45657, 46003], [701.0, 329.0, 596, 46028, 46624], [651.4285714285714, 329.0, 208, 46709, 46917], [879.0, 329.0, 256, 47078, 47334], [954.1666666666666, 329.0, 370, 47509, 47879], [1022.4375, 329.0, 469, 47909, 48378]]"
579,1214,6,"[[1302.7727272727273, 329.0, 579, 48809, 49388], [1334.4545454545455, 329.0, 282, 49416, 49698], [429.85714285714283, 381.0, 358, 51370, 51728], [469.55555555555554, 381.0, 229, 51907, 52136], [435.1818181818182, 381.0, 276, 52650, 52926], [503.6, 381.0, 240, 52952, 53192], [534.0, 381.0, 230, 53222, 53452], [671.5, 381.0, 206, 53585, 53791], [538.3333333333334, 381.0, 218, 53847, 54065], [777.7777777777778, 381.0, 237, 54281, 54518], [704.8, 381.0, 275, 54699, 54974], [626.0, 381.0, 231, 55001, 55232], [578.25, 381.0, 212, 55265, 55477], [769.4, 381.0, 286, 55584, 55870], [842.2727272727273, 381.0, 317, 55900, 56217], [922.9375, 381.0, 476, 56254, 56730], [1004.8571428571429, 381.0, 200, 56787, 56987], [1049.0, 381.0, 316, 57019, 57335]]"
