,words,understand?(Y/N),understand before experiment?(Y/N)
0,This,,
1,are,,
2,genes,,
3,into,,
4,hard-wired,,
5,inevitably,,
6,to,,
7,what,,
8,our,,
9,virtues,,
10,preoccupation,,
11,leads,,
